Location,Rate,Rate_Percent,County,Type,Notes
San Fernando,0.105,10.5,Los Angeles,City,
San Francisco,0.08625,8.625,San Francisco,City,
San Francisco County,0.08625,8.625,San Francisco,County,
San Gabriel,0.105,10.5,Los Angeles,City,
Sanger,0.08725,8.725,Fresno,City,
San Jacinto,0.0875,8.75,Riverside,City,
San Joaquin,0.07975,7.9750000000000005,Fresno,City,
San Joaquin County,0.0775,7.75,San Joaquin,County,
San Jose,0.09375,9.375,Santa Clara,City,
San Juan Bautista,0.09,9.0,San Benito,City,
San Juan Capistrano,0.0775,7.75,Orange,City,
San Leandro,0.1075,10.75,Alameda,City,
San Luis Obispo,0.0875,8.75,San Luis Obispo,City,
San Luis Obispo County,0.0725,7.249999999999999,San Luis Obispo,County,
San Marcos,0.0875,8.75,San Diego,City,
San Marino,0.0975,9.75,Los Angeles,City,
San Mateo,0.09625,9.625,San Mateo,City,
San Mateo County,0.09375,9.375,San Mateo,County,
San Pablo,0.095,9.5,Contra Costa,City,
San Rafael,0.0925,9.25,Marin,City,
San Ramon,0.0975,9.75,Contra Costa,City,
Santa Ana,0.0925,9.25,Orange,City,
Santa Barbara,0.0925,9.25,Santa Barbara,City,
Santa Barbara County,0.0775,7.75,Santa Barbara,County,
Santa Clara,0.09125,9.125,Santa Clara,City,
Santa Clara County,0.09125,9.125,Santa Clara,County,
Santa Clarita,0.0975,9.75,Los Angeles,City,
Santa Cruz,0.0975,9.75,Santa Cruz,City,
Santa Cruz County,0,0,County,Please refer to the applicable tax rates for the unincorporated area and incorporated cities within Santa Cruz County.,
Santa Cruz County Unincorporated Area,0.095,9.5,Santa Cruz,County,This tax rate applies only to unincorporated areas of Santa Cruz County. Please refer to the applicable incorporated city within the county for that city's tax rate.
Santa Fe Springs,0.1075,10.75,Los Angeles,City,
Santa Maria,0.0875,8.75,Santa Barbara,City,
Santa Monica,0.1075,10.75,Los Angeles,City,
Santa Paula,0.0925,9.25,Ventura,City,
Santa Rosa,0.1,10.0,Sonoma,City,
Santee,0.0775,7.75,San Diego,City,
Saratoga,0.09125,9.125,Santa Clara,City,
Sausalito,0.0925,9.25,Marin,City,
Scotts Valley,0.0975,9.75,Santa Cruz,City,
Seal Beach,0.0925,9.25,Orange,City,
Seaside,0.0925,9.25,Monterey,City,
Sebastopol,0.105,10.5,Sonoma,City,
Selma,0.08475,8.475000000000001,Fresno,City,
Shafter,0.0725,7.249999999999999,Kern,City,
Shasta County,0.0725,7.249999999999999,Shasta,County,
Shasta Lake,0.0725,7.249999999999999,Shasta,City,
Sierra County,0.0725,7.249999999999999,Sierra,County,
Sierra Madre,0.105,10.5,Los Angeles,City,
Signal Hill,0.105,10.5,Los Angeles,City,
Simi Valley,0.0725,7.249999999999999,Ventura,City,
Siskiyou County,0.0725,7.249999999999999,Siskiyou,County,
Solana Beach,0.0875,8.75,San Diego,City,
Solano County,0.07375,7.375,Solano,County,
Soledad,0.0925,9.25,Monterey,City,
Solvang,0.0875,8.75,Santa Barbara,City,
Sonoma,0.1025,10.25,Sonoma,City,
Sonoma County,0.0925,9.25,Sonoma,County,
Sonora,0.0875,8.75,Tuolumne,City,
South El Monte,0.1075,10.75,Los Angeles,City,
South Gate,0.1075,10.75,Los Angeles,City,
South Lake Tahoe,0.0875,8.75,El Dorado,City,
South Pasadena,0.105,10.5,Los Angeles,City,
South San Francisco,0.09875,9.875,San Mateo,City,
Stanislaus County,0.07875,7.875,Stanislaus,County,
Stanton,0.0875,8.75,Orange,City,
St. Helena,0.0825,8.25,Napa,City,
Stockton,0.09,9.0,San Joaquin,City,
Suisun City,0.09125,9.125,Solano,City,
Sunnyvale,0.09125,9.125,Santa Clara,City,
Susanville,0.0825,8.25,Lassen,City,
Sutter County,0.0725,7.249999999999999,Sutter,County,
Sutter Creek,0.0875,8.75,Amador,City,
Taft,0.0825,8.25,Kern,City,
Tehachapi,0.0825,8.25,Kern,City,
